,Region,Life expectancy,GDPPCAP
0,Africa Eastern and Southern,62.4545852699516,3839.47005798218
1,Africa Western and Central,56.9886567820139,4409.45096089481
2,Arab World,70.814483021063,14793.8813132851
3,Central Europe and the Baltics,74.9324135685624,37579.7976766613
4,Caribbean small states,70.9962586746614,17323.6122634721
5,East Asia & Pacific (excluding high income),75.5432912976843,16894.5779101956
6,East Asia & Pacific,76.3939344484456,20249.8462750563
7,Europe & Central Asia (excluding high income),71.4331737887319,24980.9156282926
8,Europe & Central Asia,76.6315259826298,39231.6364642101
9,European Union,80.3871306191596,48779.3824363879
10,Latin America & Caribbean (excluding high income),71.8989019226457,16343.1374197611
11,Latin America & Caribbean,72.1474457362807,17116.3123072178
12,Middle East & North Africa,72.7459067417958,17276.6915959489
13,Middle East & North Africa (excluding high income),71.8998757257437,11444.0031880896
14,North America,76.9772625183071,67578.3876722821
15,Sub-Saharan Africa (excluding high income),60.2406347147534,4067.57576841255
16,Sub-Saharan Africa,60.2417403457928,4069.88912637285
