,Country Name,region,sub-region,Literacy,GDPPCAP
0,Afghanistan,Asia,Southern Asia,37.266040802002,1665.80584219752
1,Albania,Europe,Southern Europe,98.4499969482422,15814.4115712467
2,Algeria,Africa,Northern Africa,81.4078369140625,12128.2749912629
3,Angola,Africa,Sub-Saharan Africa,72.2799987792969,6491.12557839236
4,Antigua and Barbuda,Americas,Latin America and the Caribbean,98.9499969482422,21010.0035741979
5,Argentina,Americas,Latin America and the Caribbean,99.0038681030273,23649.670296221
6,Armenia,Asia,Western Asia,99.7886123657227,15592.4873567251
7,Aruba,Americas,Latin America and the Caribbean,97.9899978637695,42698.3598724311
8,Azerbaijan,Asia,Western Asia,99.7959823608398,15854.5508382533
9,Bahrain,Asia,Western Asia,92.3000030517578,54256.7714345513
10,Bangladesh,Asia,Southern Asia,74.9088973999023,6493.80939271608
11,Barbados,Americas,Latin America and the Caribbean,99.5999984741211,15110.9573312342
12,Belarus,Europe,Eastern Europe,99.8740005493164,21698.5740886624
13,Belize,Americas,Latin America and the Caribbean,80.9000015258789,9626.57357080288
14,Benin,Africa,Sub-Saharan Africa,45.8400001525879,3649.04065049671
15,Bhutan,Asia,Southern Asia,70.9499969482422,11983.3169712681
16,Bosnia and Herzegovina,Europe,Southern Europe,98.0999984741211,17492.930107732
17,Botswana,Africa,Sub-Saharan Africa,86.8231811523438,16304.1533572515
18,Brazil,Americas,Latin America and the Caribbean,94.3000030517578,16031.0861728725
19,Brunei Darussalam,Asia,South-eastern Asia,97.5899963378906,66055.2483023615
20,Bulgaria,Europe,Eastern Europe,98.4199981689453,28113.0511781499
21,Burkina Faso,Africa,Sub-Saharan Africa,46.0400009155273,2394.70536478773
22,Burundi,Africa,Sub-Saharan Africa,74.7099990844727,774.54289094215
23,Cabo Verde,Africa,Sub-Saharan Africa,90.7799987792969,6716.95633050564
24,Cambodia,Asia,South-eastern Asia,83.9100036621094,4783.90361444401
25,Cameroon,Africa,Sub-Saharan Africa,78.2300033569336,4065.31160958852
26,Cayman Islands,Americas,Latin America and the Caribbean,98.8678207397461,74155.2778867172
27,Central African Republic,Africa,Sub-Saharan Africa,37.4900016784668,920.078470147941
28,Chad,Africa,Sub-Saharan Africa,26.7600002288818,1566.04116081687
29,Chile,Americas,Latin America and the Caribbean,97.0400009155273,28367.9357716708
30,China,Asia,Eastern Asia,97.1500015258789,19338.2340845061
31,Colombia,Americas,Latin America and the Caribbean,95.6363296508789,16884.679282999
32,Comoros,Africa,Sub-Saharan Africa,61.9900016784668,3546.84350218717
33,Costa Rica,Americas,Latin America and the Caribbean,98.0400009155273,22526.4357260309
34,Croatia,Europe,Southern Europe,99.4499969482422,34543.7221294185
35,Cyprus,Asia,Western Asia,99.3600006103516,44393.76171875
36,Dominican Republic,Americas,Latin America and the Caribbean,95.1699981689453,20462.5171301047
37,Ecuador,Americas,Latin America and the Caribbean,94.4835891723633,11720.6446417049
38,El Salvador,Americas,Latin America and the Caribbean,89.9845275878906,9981.88601960529
39,Equatorial Guinea,Africa,Sub-Saharan Africa,94.3705368041992,16080.1432631254
40,Estonia,Europe,Northern Europe,99.870002746582,42391.7300545337
41,Eswatini,Africa,Sub-Saharan Africa,89.2799987792969,9730.06812466724
42,Ethiopia,Africa,Sub-Saharan Africa,51.7711791992188,2547.71681384862
43,Gabon,Africa,Sub-Saharan Africa,85.4599990844727,15175.6873376584
44,Georgia,Asia,Western Asia,99.5584411621094,17013.5663210827
45,Ghana,Africa,Sub-Saharan Africa,80.379997253418,5971.12500879603
46,Greece,Europe,Southern Europe,97.9359512329102,31493.8514986709
47,Grenada,Americas,Latin America and the Caribbean,98.5999984741211,15037.8495447229
48,Guatemala,Americas,Latin America and the Caribbean,83.3499984741211,9806.82822044911
49,Guinea,Africa,Sub-Saharan Africa,45.3300018310547,2900.6689577709
50,Guinea-Bissau,Africa,Sub-Saharan Africa,52.8899993896484,2011.94847990013
51,Guyana,Americas,Latin America and the Caribbean,88.8499984741211,24086.9009171257
52,Haiti,Americas,Latin America and the Caribbean,61.691349029541,3153.12702047678
53,Honduras,Americas,Latin America and the Caribbean,88.5074310302734,6121.565844251
54,Hungary,Europe,Eastern Europe,99.0999984741211,36774.3376019972
55,India,Asia,Southern Asia,74.3729934692383,7241.98422960577
56,Indonesia,Asia,South-eastern Asia,95.9990081787109,13027.3006076005
57,Iraq,Asia,Western Asia,85.5999984741211,9846.04149957664
58,Israel,Asia,Western Asia,91.7514114379883,43442.2563577255
59,Italy,Europe,Southern Europe,99.3490982055664,46385.2603514771
60,Jamaica,Americas,Latin America and the Caribbean,88.0999984741211,10542.7377855943
