,sub-region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Australia and New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16108.88807934835,16181.0930901229,16578.1829851558,17571.542818942402,18633.83038594045,19457.639553483947,20283.702709797253,21124.248491183,21848.25417890465,23023.79211094405,24011.5384161954,25076.24237340175,26161.4789411524,27048.18498867835,28424.924780396,29347.7911514741,31277.86535855925,32980.73397795865,33672.4981995391,35492.838992271696,35294.18352459515,37359.7482703738,37917.9532531462,41075.1879541007,42087.77117836775,41865.5458324422,43591.504629439296,45309.3917511811,46356.8558723927,48917.57712453015,49221.21280496055,51616.645013190704
1,Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4717.825712377745,4450.867175276595,3946.6854910544776,3757.582078911105,3296.73965215489,3124.0607709061424,3205.1454630327717,3215.150125479324,3318.0625626127935,3579.8644601664764,3910.5397803610476,4338.548272849025,4660.99369650822,5054.12232700203,5564.264743946134,6233.103609640785,6985.682385976343,7748.475139620327,8308.775854323427,8505.216957189461,9118.01541410071,9998.589920143942,10613.020831231568,11525.493120141944,11879.342615952295,11560.473021283498,11770.953077503895,12160.907013020773,12889.112797937842,13618.444386837515,12782.940035915715,13823.504752400024
2,Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7980.047790974207,8361.177997752098,8517.915715948073,8670.460272858354,9119.23711950454,9600.75538295628,10078.10978372087,10401.79377703212,10464.23216773463,10647.098072009303,11282.707752887369,11650.914397125016,12054.721157855542,12555.650154025518,13380.507343057465,14194.51142789761,15140.47755614965,16167.38366348529,16725.26584921743,16345.838175110535,17407.099678415063,18502.022657974678,19706.895480709336,20653.413136465868,21078.023979753863,21521.854540979533,21637.609489143233,22373.0821238785,23317.41573075233,23983.613490300933,23702.4120317847,24802.695331680065
3,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7515.7016131719165,7285.550521442243,7013.637591006469,6960.423413571422,6935.252911598961,7188.79863907625,7287.608663295515,7376.306394540991,7616.344547563757,7857.555340741703,8490.924578718412,9229.041276588456,9930.883603618046,10717.053670581026,11775.68408740959,12710.186463616776,14299.490953603687,15837.62660786875,17703.982895756926,17510.09112908604,18405.63959121715,19732.15375701269,20546.284306635698,21524.74228475226,22160.128515810575,22486.285349030288,23656.546696091464,25355.069044292,27317.668798928276,29433.02472680255,29253.987287608114,31716.9668962006
4,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984.813853999895,6319.995825436768,6629.299937583872,6938.310895830458,7301.964279213797,7502.691679401612,7786.70603212487,8229.886754770652,8507.164488113576,8672.763405614136,9092.557209160263,9316.909074233792,9459.835867302905,9927.077562832992,10652.389217149013,11289.334002762303,14388.847339057918,15272.310481742548,15700.144140286273,15596.922125393614,15952.084224403576,16892.292491293796,16812.95138519524,17276.182580698936,17917.067887905225,18158.939224371632,18685.81021800718,19380.507536791265,20038.97130358995,20033.192387426454,18249.865416723023,20071.775621142413
5,Melanesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.7992280782973,2220.6790579898525,2410.54447251195,2559.2565489550902,2731.8085275847775,2796.1760358131573,2918.8372170134053,2873.53332961947,2850.925452008075,2957.033276744475,2891.33935335338,2878.7576986278277,2878.92476531353,2952.25341329969,3123.5714884790423,3269.2664164345197,3440.52619749329,3539.828387695575,3629.539913059275,3647.8360148933425,3813.481342802555,3955.9811964863225,4131.517616188255,4338.453136644628,4883.7895048557,5175.282967842675,5319.855256744925,5611.310171376255,5850.109411282822,5960.48095164283,5277.64276852426,5281.68813740018
6,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615.65779414068,1636.705508751445,1721.3770983949298,1803.0260927745499,1890.6197198003601,2001.335238832505,1876.484940160285,1810.40251002916,1836.0599247578598,1810.416695642395,4470.72035138108,4798.246585569217,5033.793080557866,4991.73372337441,5022.147932670405,5304.135877972318,5588.98893582686,5603.529334075675,5695.157111624258,5691.265522948068,5994.974467547705,6549.756693811638,6972.53484197875,7563.098155182937,8516.434787238166,9037.356911886718,9192.621674565698,8984.643052906167,9416.178293920733,9703.882692855657,9378.512249039715,9236.903964308058
7,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3699.065772234412,3834.8014472387176,3963.1276404423475,3978.62677776147,4081.6933277718576,4169.173122876762,4449.324732168618,4622.463701032093,4846.97661049266,8093.877059895123,8452.94923013751,8594.72295742753,8700.065503651707,9517.21173374401,10037.657546775701,10971.70932715711,11699.59559453058,12443.960393029356,12674.70986003067,12382.095153004939,12820.692552183977,10185.112362394939,12753.167674865546,11708.055840700186,11246.544648275642,11379.12018529676,11339.7293851914,11886.58203655394,12476.718190818321,12005.82064797132,10381.573234065116,12092.095916905131
8,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34870.7477537551,34955.5582770959,35990.578111392,37749.2083732918,38518.4174421737,40763.3866085376,42317.9241727648,35006.40964449635,36499.1379814324,38252.946650254,41641.9289189804,44357.4776837397,44550.726407571696,46628.9916834791,48751.9495062383,51283.34772286685,54888.0683865514,57601.27863888195,57784.82663363275,54943.860652207004,55363.635216775,55832.7755236334,54872.392966938,56645.9031109768,57264.5986487356,58271.654298201,61417.1958314228,65076.0652285347,66680.69241325525,67456.3016425261,63706.6091255881,70448.8574152914
9,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17804.396051061638,18269.572141590277,18734.764247593797,19174.9410514179,20420.20434758776,16731.4587543479,17659.15345194089,19020.33253930793,20062.748198306523,21076.132891215246,23103.12970934618,24244.92090186283,25356.29128705801,26170.643826552045,28305.053453790213,30121.362663732125,33253.2615567316,35720.4005165587,37358.95985168315,34767.29354399753,36054.419250872365,38301.47760907077,39646.70869819179,41173.23420000207,42308.57567980967,44692.00833154926,46691.029655276885,49841.17625977385,52851.450294024326,55454.51896418142,54693.54071024118,60324.0668362533
