,Country Name,region,sub-region,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,Asia,Southern Asia,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.535,33.068,33.547,34.016,34.494,34.953,35.453,35.924,36.418,36.91,37.418,37.923,38.444,39.003,39.55,40.1,40.645,41.228,40.271,39.086,39.618,40.164,37.766,38.187,33.329,33.55,39.396,39.844,43.958,45.158,45.967,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982
1,Albania,Europe,Southern Europe,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.439,55.634,56.671,57.844,58.983,60.019,60.998,61.972,62.946,63.923,64.824,65.618,66.422,67.14,67.769,68.328,68.704,69.121,69.309,69.584,70.478,70.73,71.023,71.296,71.502,71.656,71.95,72.352,72.641,72.88,73.144,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463
2,Algeria,Africa,Northern Africa,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,40.532,40.516,39.323,42.908,42.788,42.714,42.543,42.568,42.642,42.781,43.16,43.67,44.346,45.079,46.034,46.972,47.985,49.191,50.353,51.755,53.261,55.276,57.428,59.51,61.658,63.588,65.159,65.83,66.971,67.085,67.416,67.688,67.757,67.719,67.361,67.454,68.749,69.171,69.451,70.032,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377
3,American Samoa,Oceania,Polynesia,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,Europe,Southern Europe,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,Africa,Sub-Saharan Africa,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.211,37.267,37.539,37.824,38.131,38.495,38.757,39.092,39.484,39.829,40.19,40.554,40.905,41.27,41.652,41.191,41.163,41.437,41.83,42.175,42.449,42.772,43.051,42.092,42.353,42.648,42.843,40.917,41.545,41.765,41.893,43.813,42.209,42.101,43.422,45.849,46.033,46.306,45.057,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643
6,Antigua and Barbuda,Americas,Latin America and the Caribbean,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.55,62.363,63.192,64.101,65.058,66.026,66.956,67.859,68.671,69.535,70.058,70.683,71.016,71.349,71.747,71.977,72.359,72.546,72.871,73.035,73.183,73.338,73.458,73.471,73.524,73.566,73.556,73.554,73.53,73.416,73.492,73.435,73.417,73.482,73.591,73.636,73.829,73.96,74.041,74.347,74.606,75.078,75.536,75.478,75.672,75.825,75.765,76.131,76.41,76.669,76.82,77.104,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,78.497
7,Argentina,Americas,Latin America and the Caribbean,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.978,64.36,64.244,64.449,64.363,64.593,64.891,64.992,64.89,64.859,65.589,65.541,65.923,66.323,66.563,67.081,67.228,67.861,68.197,68.491,68.564,68.976,68.937,69.267,69.195,69.651,70.119,70.564,71.052,71.425,71.784,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39
8,Armenia,Asia,Western Asia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.431,61.803,62.125,62.223,62.418,62.754,62.945,63.213,63.334,63.656,63.873,64.208,64.535,64.611,64.825,64.962,65.161,65.364,65.701,66.041,66.177,66.579,66.89,67.195,67.507,67.93,68.18,68.095,53.9,68.703,68.821,68.643,68.627,68.841,69.073,69.311,69.783,69.91,70.514,70.257,70.624,70.932,71.018,71.436,71.421,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043
9,Aruba,Americas,Latin America and the Caribbean,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.152,64.537,64.752,65.132,65.294,65.502,66.063,66.439,66.757,67.168,67.583,67.975,68.577,69.092,69.503,69.762,70.035,70.264,70.494,70.778,71.066,71.722,71.959,72.105,72.251,72.388,72.462,72.789,73.047,73.023,73.076,73.1,73.179,73.225,73.272,73.349,73.448,73.452,73.491,73.561,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626
10,Australia,Oceania,Australia and New Zealand,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8170731707317,70.9731707317073,70.9424390243903,70.9117073170732,70.8809756097561,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.0185365853659,71.0682926829268,71.4575609756098,71.8468292682927,72.2360975609756,72.6253658536586,73.0146341463415,73.3443902439024,73.6741463414634,74.0039024390244,74.3336585365854,74.6634146341463,74.9048780487805,75.1463414634146,75.3878048780488,75.6292682926829,75.8707317073171,76.1517073170732,76.4326829268293,76.7136585365854,76.9946341463415,77.2756097560976,77.3780487804878,77.8780487804878,77.8780487804878,77.8292682926829,78.0780487804878,78.4804878048781,78.6317073170732,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3
11,Austria,Europe,Western Europe,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5856097560976,69.5773170731707,69.309512195122,69.4436585365854,69.9219512195122,69.7221951219512,70.0458536585366,69.9178048780488,70.0575609756098,69.8331707317073,69.9146341463415,70.1146341463415,70.4634146341463,71.0146341463415,71.0121951219512,71.1146341463415,71.5658536585366,71.9146341463415,72.0121951219512,72.3121951219512,72.4634146341463,72.8121951219512,72.9609756097561,73.0121951219512,73.6121951219512,73.8146341463415,74.3170731707317,74.7682926829268,75.2170731707317,75.2658536585366,75.5682926829269,75.6170731707317,75.8170731707317,76.0682926829268,76.419512195122,76.6682926829268,76.8707317073171,77.319512195122,77.6707317073171,77.8756097560976,78.1268292682927,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.2390243902439
12,Azerbaijan,Asia,Western Asia,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.837,56.192,56.516,56.898,57.196,57.619,57.672,57.973,58.367,58.599,59.018,59.353,59.803,60.045,60.228,60.337,60.521,60.627,60.713,60.867,61.081,61.291,61.447,61.96,61.956,62.093,62.194,62.569,62.729,62.582,62.352,62.052,61.296,61.286,61.594,62.305,62.622,62.973,63.561,64.189,64.891,65.51,66.239,66.756,67.346,67.562,68.165,68.603,68.811,69.356,69.529,69.984,70.36,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868,69.366
13,Bahrain,Asia,Western Asia,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.33,52.112,53.697,55.285,56.778,58.228,59.656,61.002,62.31,63.475,64.45,65.607,66.373,67.183,67.864,68.466,69.118,69.604,69.978,70.456,70.826,71.183,71.47,71.668,72.012,72.106,72.269,72.369,72.444,72.619,72.668,72.764,72.953,73.375,73.517,73.799,74.355,74.535,74.641,74.98,75.496,75.908,76.088,76.337,76.56,76.931,77.156,77.634,78.084,78.461,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,78.76
14,Bangladesh,Asia,Southern Asia,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.74,45.662,46.701,46.655,47.741,46.858,48.577,48.865,49.09,49.172,42.587,25.996,49.591,49.828,49.16,50.292,50.647,51.197,51.254,51.464,51.85,52.169,52.54,53.011,53.54,53.897,54.415,54.926,55.027,55.089,55.989,54.154,57.635,57.927,58.617,59.467,59.492,61.427,63.917,66.228,65.779,66.135,66.612,66.824,67.187,67.299,67.241,66.714,67.051,67.403,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,72.381
